Oak Chan Elementary,Folsom,95630,https://www.fcusd.org/OCE,
Hart-Ransom Elementary,Modesto,95358,https://hre-hrusd-ca.schoolloop.com/,
Crystal Middle,Suisun City,94585,https://www.fsusd.org/crystal,
Monte Vista Elementary,La Crescenta,91214,https://www.gusd.net/montevista,
Excelsior Elementary,Garden Grove,92843,https://excelsior.ggusd.us/,
Palmetto Elementary,Fontana,92335,https://www.fusd.net/Palmetto,
Cerra Vista Elementary,Hollister,95023,https://cv.hesd.org/,
Orangewood Elementary,Bakersfield,93306,https://www.edison.k12.ca.us/OES/,
Rodeo Hills Elementary,Rodeo,94572,https://www.jsusd.org/Page/9,
Richman Elementary,Fullerton,92832,https://richman.fullertonsd.org/,
Rio Vista Elementary,El Monte,91731,https://riovista.emcsd.org/,
Jefferson,Tracy,95304,https://www.jeffersonschooldistrict.com/jefferson,
Jurupa Valley High,Jurupa Valley,91752,https://jurupausd.org/schools/JurupaValleyHighSchool/Pages/Default.aspx,
Jacob Wiens Elementary,Hemet,92543,https://jacobwiens.hemetusd.org/,
Valley High (Continuation),Escondido,92027,https://vhs-euhsd-ca.schoolloop.com/,
Buena Park High,Buena Park,90621,https://www.fjuhsd.org/Domain/8,
Sunnyside Elementary,Garden Grove,92844,https://sunnyside.ggusd.us/,
Blanche Sprentz Elementary,Folsom,95630,https://www.fcusd.org/bse,
Live Oak Elementary,Fontana,92335,https://www.fusd.net/liveoak,
Fred L. Williams Elementary,Oxnard,93033,https://www.huensd.k12.ca.us/o/williams-elementary,
Anderson Elementary,Compton,90222,https://aes-compton-ca.schoolloop.com/,
Ivy High (Continuation),Fallbrook,92028,https://ivyhigh.fuhsd.net/,
Esparto Elementary,Esparto,95627,https://ees.eusdk12.org/,
Las Palmitas Elementary,Thermal,92274,https://lpes.cvusd.us/las-palmitas-elementary,
Douglas City Elementary,Douglas City,96024,http://dcesd.org/,
General Shafter Elementary,Bakersfield,93313,http://generalshafter.org/,
Chalone Peaks Middle,King City,93930,http://www.cpeaks.kcusd.org/,
John M. Horner Junior High,Fremont,94538,https://horner-fusd-ca.schoolloop.com/,
Wawona K-8,Fresno,93704,https://www.fresnounified.org/schools/wawona,
Daily (Allan F.) High (Continuation),Glendale,91206,https://www.gusd.net/Domain/152,
Hermosa View Elementary,Hermosa Beach,90254,https://hbcsd.org/hermosa+view/,
Hanford High,Hanford,93230,http://www.hjuhsd.org/,
Eleanor Roosevelt High,Eastvale,92880,https://roosevelt.cnusd.k12.ca.us/,
Westlake Elementary,Westlake Village,91361,https://www.westlakeelementaryschool.com/,
Ontario Center,Ontario,91764,https://www.greatschools.org/california/ontario/5071-The-Ontario-Center/,
Cedarlane Academy,Hacienda Heights,91745,https://cms-hlpusd-ca.schoolloop.com/,
Happy Valley Elementary,Lafayette,94549,https://hves-lafsd-ca.schoolloop.com/,
Sierra Vista Middle,La Puente,91744,https://svms-hlpusd-ca.schoolloop.com/,
T. R. Smedberg Middle,Sacramento,95829,http://sms.egusd.net/,
Durham High,Durham,95938,https://dhs.durhamunified.org/,
Malloch Elementary,Fresno,93711,https://www.fresnounified.org/schools/malloch,
Quest Academy,Spring Valley,91977,https://www.lmsvschools.org/quest/,
Robert F. Kennedy Elementary,San Jose,95122,https://kennedy.fmsd.org/,
Worthington Elementary,Inglewood,90303,https://worthington.inglewoodusd.com/,
Lakeside Elementary,Hanford,93230,https://www.lakeside.k12.ca.us/,
Corona Fundamental Intermediate,Corona,92882,https://cfis.cnusd.k12.ca.us/,
Dr. Bernice Jameson Todd Academy,Corona,92883,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=33670330113647,
Coronado Unified Special Education Pre-K,Coronado,92118,https://coronadousd.net/departments/student-services/special-education/,
Jefferson High,Daly City,94014,https://www.juhsd.net/Domain/11,
Valley High,Sacramento,95823,http://vhs.egusd.net/,
University Center Preschool,Thousand Oaks,91360,https://www.cde.ca.gov/schooldirectory/details?cdscode=56737590119149,
Folsom Lake High,Folsom,95630,https://www.fcusd.org/FLHS,
Ruth Grimes Elementary,Bloomington,92316,https://www.colton.k12.ca.us/grimes,
Dunsmore Elementary,La Crescenta,91214,https://www.gusd.net/dunsmore,
Millbrook Elementary,San Jose,95148,https://www.greatschools.org/california/san-jose/5476-Millbrook-Elementary-School/,
Freedom High,Oakley,94561,https://ca01001129.schoolwires.net/freedom,
James Madison Elementary,La Quinta,92253,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=33670586108955,
Silverado Middle,Roseville,95747,https://sms-dcjesd-ca.schoolloop.com/,
Shirley Lane Elementary,Bakersfield,93307,https://www.fairfax.k12.ca.us/shirley,
Dehesa Elementary,El Cajon,92019,https://www.dehesasd.net/,
La Ballona Elementary,Culver City,90232,https://laballona.ccusd.org/,
Grenada Elementary,Grenada,96038,https://ge-gesd-ca.schoolloop.com/,
Ed Donaldson Education Center,Kelseyville,95451,https://www.cde.ca.gov/schooldirectory/details?cdscode=17640141730043,
Elliott Ranch Elementary,Elk Grove,95757,http://blogs.egusd.net/elliottranch/,
Valencia Academy of the Arts,Pico Rivera,90660,https://vaa.erusd.org/,
Garfield Elementary,Eureka,95503,http://www.garfieldschool.org/,
Gustine Elementary,Gustine,95322,https://www.gustineusd.org/,
Woodrow Wilson Elementary,Colton,92324,https://www.colton.k12.ca.us/wilson,
Planz Elementary,Bakersfield,93304,https://planz.gfusd.net/,
East Lake,Clearlake Oaks,95423,https://www.greatschools.org/california/clearlake-oaks/3075-East-Lake/,
Gallatin Elementary,Downey,90240,https://web.dusd.net/gallatin/,
Colonel Mitchell Paige Middle,La Quinta,92253,https://sites.google.com/a/desertsands.us/paige-middle-school/,
Elk Grove Charter,Elk Grove,95757,http://egcs.egusd.net/,
Forest Park Elementary,Fremont,94555,https://forestpark.fremont.k12.ca.us/,
Laton Elementary,Laton,93242,https://www.latonunified.org/3/home,
El Morro Elementary,Laguna Beach,92651,https://ems.lbusd.org/,
Marguerite Hahn Elementary,Rohnert Park,94928,https://mhs.crpusd.org/,
Fontana High,Fontana,92335,https://www.fusd.net/Domain/42,
Ocean Air,San Diego,92130,http://www.oceanaircarmelvalley.com/,
Lassen Community Day,Susanville,96130,https://www.lassenhigh.org/luhsd-district/luhsd/lassen-community-day-school/,
Joshua Elementary,Lancaster,93535,https://www.lancsd.org/Domain/16,
Thomas Edison Elementary,Daly City,94015,https://www.jsd.k12.ca.us/TEdison,
Heritage Oak Elementary,Roseville,95747,https://ho-dcjesd-ca.schoolloop.com/,
Davis School for Independent Study,Davis,95616,https://dsis.djusd.net/,
Blue Heron,Lower Lake,95457,http://alt.konoctiusd.org/blue-heron,
El Segundo Middle,El Segundo,90245,http://www.elsegundohigh.org/,
Palm Desert Charter Middle,Palm Desert,92260,https://sites.google.com/a/desertsands.us/pdcms/,
Jurupa Unified Pre-K Readiness Center,Jurupa Valley,92509,https://jurupausd.org/schools/PreSchool/Pages/Default.aspx,
Bernardo Elementary,Escondido,92029,https://eusd.org/prope/by-school/bernardo/,
Kenwood Elementary,Kenwood,95452,https://www.greatschools.org/california/kenwood/7046-Kenwood-Elementary-School/,
Woodrow W. Wallace Elementary,Lake Isabella,93240,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=15635456009658,
Glenwood Elementary,Thousand Oaks,91360,https://www.conejousd.org/glenwood,
El Monte Union High School Community Day,El Monte,91731,https://www.emuhsd.org/site/default.aspx?PageType=3&ModuleInstanceID=41&ViewID=82ad4dc1-ff8e-4c91-9428-7a2a172acda0&RenderLoc=0&FlexDataID=16&PageID=40,
Perdew Elementary,Etiwanda,91739,http://per.etiwanda.org/,
Liberty Elementary,Petaluma,94952,https://libertysd.org/,
Patwin Elementary,Davis,95616,https://patwin.djusd.net/,
Martin Luther King Elementary,Compton,90222,https://kes-compton-ca.schoolloop.com/,
O. N. Hirsch Elementary,Fremont,94538,https://hirsch-fusd-ca.schoolloop.com/,
Eastvale Elementary,Eastvale,92880,https://eastvale.cnusd.k12.ca.us/,
Valley View Elementary,Coachella,92236,https://vves.cvusd.us/valley-view-elementary,
Sci Tech Engr Arts and Math Acad at La Presa,Spring Valley,91977,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37681970132431,
Mt. Vernon,Lemon Grove,91945,https://mve.lemongrovesd.net/,
McKee Middle,Bakersfield,93307,https://mms.gfusd.net/,
Woodruff Academy,Downey,90241,https://web.dusd.net/columbus/the-woodruff-academy/,
Monterey Trail High,Elk Grove,95624,http://mths.egusd.net/,
Edith B. Storey Elementary,Fresno,93725,https://www.fresnounified.org/schools/storey,
Fowler Academy Independent Study,Fowler,93625,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=10621580120246,
Wakeham Elementary,Garden Grove,92841,https://wakeham.ggusd.us/,
Alamitos Intermediate,Garden Grove,92841,https://alamitos.ggusd.us/,
Alicante Avenue Elementary,Lamont,93241,https://www.lamontschooldistrict.org/AlicanteSchool,
Harada Elementary,Eastvale,92880,https://harada.cnusd.k12.ca.us/,
William Green Elementary,Lawndale,90260,https://wge-lesd-ca.schoolloop.com/,
William Workman High,City Of Industry,91744,https://wwhs-hlpusd-ca.schoolloop.com/,
John F. Kennedy Junior High,Hanford,93232,https://kennedy.hanfordesd.org/,
Kwis Elementary,Hacienda Heights,91745,https://kes-hlpusd-ca.schoolloop.com/,
North Broadway Elementary,Escondido,92026,https://northbroadway.eusd.org/,
Ocean Shore Elementary,Pacifica,94044,https://www.pacificasd.org/OSS,
Coral Mountain Academy,Coachella,92236,https://cma.cvusd.us/coral-mountain-academy,
Dolores Huerta Elementary,Lennox,90304,https://hes.lennox.k12.ca.us/,
Reymouth Special Education Center,Rancho Cordova,95742,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=34673306033237,
Pacific Avenue Academy of Music,Jurupa Valley,92509,https://jurupausd.org/schools/PacificAvenueAcademyofMusic/Pages/Default.aspx,
Pine Grove Elementary,Crescent City,95531,https://www.dnusd.org/pinegrove,
Mountain View Middle,Bakersfield,93307,https://www.lamontschooldistrict.org/mountain,
Cabrillo Elementary,Fremont,94536,https://cabrillo-fusd-ca.schoolloop.com/,
Culver City Middle,Culver City,90230,https://ccms.ccusd.org/,
Cooley Ranch Elementary,Colton,92324,https://www.colton.k12.ca.us/cooley,
Florin Elementary,Sacramento,95828,http://blogs.egusd.net/florinelementary/,
Sunnyslope Elementary,Hollister,95023,https://ss.hesd.org/,
Lincoln Elementary,Lancaster,93535,https://www.lancsd.org/Domain/18,
John F. Kennedy Middle,Cupertino,95014,https://www.cusdk8.org/kennedy,
Anthony G. Bacich Elementary,Kentfield,94904,https://www.greatschools.org/california/kentfield/3434-Anthony-G.-Bacich-Elementary-School/,
Pyle Elementary,Fresno,93726,https://www.fresnounified.org/schools/pyle,
Woodson Elementary,Corning,96021,https://wes-corning-ca.schoolloop.com/,
Neil Cummins Elementary,Corte Madera,94925,https://www.lcmschools.org/neilcummins,
Durfee Elementary,El Monte,91732,https://durfee.emcsd.org/,
Plavan (Urbain H.) Elementary,Fountain Valley,92708,https://plavan.fvsd.us/,
Jamul Intermediate,Jamul,91935,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37681556112205,
Marguerite Montgomery Elementary,Davis,95616,https://montgomery.djusd.net/,
American High,Fremont,94536,https://ahs-fusd-ca.schoolloop.com/,
Bret Harte Middle,Hayward,94540,https://bht-haywardusd-ca.schoolloop.com/,
Fremont Elementary,Delano,93215,https://www.duesd.org/fremont,
Grand Terrace Elementary,Grand Terrace,92313,https://www.colton.k12.ca.us/grandterrace,
Lewis (Ed C.) Elementary,Downey,90242,https://www.cde.ca.gov/schooldirectory/details?cdscode=19644516012785,
Orangethorpe Elementary,Fullerton,92833,https://orangethorpe.fullertonsd.org/,
Kornblum,Hawthorne,90250,https://www.apartments.com/kornblum-apartments-hawthorne-ca/en5d8vp/,
Compton High,Compton,90220,https://chs-compton-ca.schoolloop.com/,
Northmont Elementary,La Mesa,91942,https://www.lmsvschools.org/northmont/,
Wayne Ruble Middle,Fontana,92336,https://www.fusd.net/Domain/38,
Hoopa Valley Elementary,Hoopa,95546,http://hves.ktjusd.k12.ca.us/,
Glen A. Wilson High,Hacienda Heights,91745,https://gwhs-hlpusd-ca.schoolloop.com/,
Bursch Elementary,Compton,90220,https://cbes-compton-ca.schoolloop.com/,
Unsworth (Edith) Elementary,Downey,90240,https://web.dusd.net/unsworth/,
Kern Valley High,Lake Isabella,93240,https://kernvalley.kernhigh.org/,
Lakeport Community Day,Lakeport,95453,https://www.cde.ca.gov/schooldirectory/details?cdscode=17640300114215,
Heber Elementary,Heber,92249,https://www.hesdk8.org/,
Winchester Elementary,Winchester,92596,https://winchester.hemetusd.org/,
West Riverside Elementary,Jurupa Valley,92509,https://jurupausd.org/schools/WestRiversideElementary/Pages/Default.aspx,
Viking Elementary,Fresno,93726,https://www.fresnounified.org/schools/viking,
Mountain Lakes High,Shasta Lake,96019,http://mlhs.gwusd.org/,
Antelope Crossing Middle,Antelope,95843,https://acms-dcjesd-ca.schoolloop.com/,
Imperial Cross Elementary,Imperial,92251,http://cross.imperialusd.org/,
Homan Elementary,Fresno,93705,https://www.fresnounified.org/schools/homan,
Corning Independent Study,Corning,96021,https://www.cuhsdistrict.org/pf4/cms2/view_page?d=x&group_id=1579927203754&vdid=i7dv2eqlxxw1sp,
Warwick Elementary,Fremont,94555,https://warwick.fremont.k12.ca.us/,
John Reith Elementary,Sacramento,95823,http://blogs.egusd.net/reith/,
Abraham Lincoln Elementary,La Crescenta,91214,https://www.gusd.net/lincoln,
Esperanza High,Cutler,93615,http://lov.cojusd.org/Esperanza-High-School/index.html,
Pomo,Clearlake,95422,https://pes.konoctiusd.org/,
Del Mar Elementary,Fresno,93704,https://www.fresnou.org/schools/delmar,
Ceres Elementary,Whittier,90604,https://ceres.ewcsd.org/,
Cabrillo Elementary,Pacifica,94044,https://www.pacificasd.org/CES,
Hazel M. Bailey Primary,Firebaugh,93622,http://bailey.fldusd.org/,
Old River Elementary,Downey,90242,https://web.dusd.net/oldriver/,
Jefferson Academy,Hanford,93230,https://jefferson.hanfordesd.org/,
McSweeny Elementary,Hemet,92543,https://mcsweeny.hemetusd.org/,
Da Vinci Charter Academy,Davis,95616,http://www.davincicharteracademy.net/,
Margaret G. Scotten Elementary,Grass Valley,95945,https://scotten.gvsd.us/,
Flora Vista Elementary,Encinitas,92024,http://www.eusd.net/flora-vista/,
Env Acad of Research Tech and Earth Scis,Newbury Park,91320,https://www.greatschools.org/california/newbury-park/25116-Environmental-Academy-Of-Research-Technology-And-Earth-Sciences/,
Centennial High,Corona,92881,https://centennial.cnusd.k12.ca.us/,
Raffaello Palla Elementary,Bakersfield,93307,https://palla.gfusd.net/,
Oleander Elementary,Fontana,92335,https://www.fusd.net/Oleander,
Cesar Chavez Continuation High,Compton,90222,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19734371995695,
Early Learning Program,Pico Rivera,90660,https://elp.erusd.org/,
Little Lake Elementary,Hemet,92544,https://littlelake.hemetusd.org/,
Shasta Lake,Shasta Lake,96019,http://www.shastalake.com/,
Hamilton Elementary,Fresno,93704,https://www.fresnounified.org/schools/hamilton,
Morningside Elementary,Garden Grove,92843,https://morningside.ggusd.us/,
Fremont Elementary,Fresno,93705,https://www.fresnounified.org/schools/fremont,
Mary Bird Early Childhood Education Center,Fairfield,94533,https://www.fsusd.org/domain/4900,
Juniper Elementary,Escondido,92025,https://eusd.org/prope/by-school/juniper/,
Sierra Pacific High,Hanford,93230,https://www.hjuhsd.k12.ca.us/Domain/10,
Mt. Burney Special Education Center,Burney,96013,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=45699896050314,
Leo Carrillo Elementary,Westminster,92683,https://carrillo.ggusd.us/,
Rivera Elementary,Pico Rivera,90660,https://re.erusd.org/,
Columbine Elementary,Delano,93215,http://www.tcoe.org/districts/columbine.shtm,
Hamilton High,Anza,92539,https://www.hamiltonbobcats.net/,
Anthony W. Ochoa Middle,Hayward,94545,https://och-haywardusd-ca.schoolloop.com/,
Warren Lane TK-7 Elementary,Inglewood,90305,https://warrenlane.inglewoodusd.com/,
Lincoln Elementary,Hanford,93230,https://lincoln.hanfordesd.org/,
Irwin High (Continuation),Hilmar,95324,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=24656982430080,
Jefferson Elementary,Paicines,95043,https://www.cde.ca.gov/schooldirectory/details?cdscode=35674880000000,
Noyo High (Continuation),Fort Bragg,95437,https://www.cde.ca.gov/schooldirectory/details?cdscode=23655652330215,
Fowler Academy Community Day,Fowler,93625,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=10621580126250,
Rio Cazadero High (Continuation),Sacramento,95823,http://blogs.egusd.net/rio/,
Santiago High,Garden Grove,92843,https://www.santiagohs.org/,
Los Altos High,Hacienda Heights,91745,https://lahs-hlpusd-ca.schoolloop.com/,
Apollo High,San Jose,95122,http://apollo.esuhsd.org/,
