McCoppin (Frank) Elementary,San Francisco,94118,https://www.sfusd.edu/school/frank-mccoppin-elementary-school
Templeton High,Templeton,93465,https://templetonhs.schoolloop.com/
Highland Elementary,Vallejo,94590,https://hes-vcusd-ca.schoolloop.com/
Williams Junior/Senior High,Williams,95987,https://whs.williamsusd.net/
University Park Elementary,Irvine,92612,https://universitypark.iusd.org/
Grapevine Elementary,Vista,92083,https://vistausdgv.ss19.sharpschool.com/
Riverway Elementary,Visalia,93291,https://www.vusd.org/riverway
Alice M. Worsley,Fresno,93725,https://www.cde.ca.gov/schooldirectory/details?cdscode=10101081030337
Bayside Martin Luther King Jr. Academy,Sausalito,94965,https://www.smcsd.org/
Valley Oaks,Sacramento,95821,https://www.cityofsacramento.org/ParksandRec/Parks/Park-Directory/North-Natomas/ValleyOakPark
Santa Clara Elementary,Santa Paula,93060,https://www.santaclaraesd.org/
Buena Vista Elementary,Walnut Creek,94597,https://www.walnutcreeksd.org/Subsite001
Wells (Ida B.) High,San Francisco,94117,https://www.sfusd.edu/school/ida-b-wells-high-school
Tropico Middle,Rosamond,93560,https://www.skusd.k12.ca.us/domain/46
Westside Elementary,Five Points,93624,https://www.westside-elem.k12.ca.us/
Avery Middle,Avery,95224,https://www.vallecitok12.com/apps/pages/index.jsp?uREC_ID=1531442&type=d
Monroe Elementary,San Leandro,94578,https://www.slusd.us/monroe/
James Monroe Elementary,Santa Rosa,95403,https://www.srcschools.org/Page/2234
Val Verde High,Perris,92571,https://valverdehigh.valverde.edu/
Olympic High (Continuation),Santa Monica,90405,https://www.smmusd.org/olympic
San Luis Obispo High,San Luis Obispo,93401,https://slohs.slcusd.org/
Orangevale Open K-8,Fair Oaks,95628,https://www.sanjuan.edu/orangevale
INFANT Pre,Danville,93526,http://schools.latimes.com/school/danville-1/infant-pre/
Mission Valley Elementary,Tulare,93274,https://missionvalley.tcsdk8.org/
Rancho Romero Elementary,Alamo,94507,https://rres-srvusd-ca.schoolloop.com/
Standard Middle,Bakersfield,93308,http://www.standard.k12.ca.us/
