McDowell Elementary,Petaluma,94954,https://www.petalumacityschools.org/mcdowell,Yes
Theodore Roosevelt Senior High,Los Angeles,90033,https://roosevelths-lausd-ca.schoolloop.com/,Yes
Bancroft Elementary,Walnut Creek,94598,https://bes-mdusd-ca.schoolloop.com/,Yes
Communication and Tech at Diego Rivera Lrng Complex,Los Angeles,90001,https://drlc-lausd-ca.schoolloop.com/cats,Yes
Valley of Enchantment Elementary,Crestline,92325,https://www.rimsd.k12.ca.us/Domain/11,Yes
Gates Street Elementary,Los Angeles,90031,https://gates-lausd-ca.schoolloop.com/,Yes
Edward Fitzgerald Elementary,Rialto,92377,https://kec.rialto.k12.ca.us/fitzgerald,Yes
Whitney Young Continuation,Los Angeles,90043,https://whitneyyoungcontinuationhighschool-lausd-ca.schoolloop.com/,Yes
Jaime Escalante Elementary,Cudahy,90201,https://jaimeescalantees-lausd-ca.schoolloop.com/,Yes
Ambassador-Global Leadership,Los Angeles,90005,https://asgl-lausd-ca.schoolloop.com/,Yes
Cabrillo High,Long Beach,90810,https://lbcabrillo.schoolloop.com/,Yes
Escondido Elementary,Stanford,94305,https://escondido.pausd.org/,Yes
Fair Avenue Elementary,North Hollywood,91606,https://fair-lausd-ca.schoolloop.com/,Yes
Lincoln Elementary,Madera,93637,https://www.madera.k12.ca.us/lincoln,Yes
Esteban Torres East LA Performing Arts Magnet,Los Angeles,90063,https://www.torreselapamagnet.org/,Yes
Grape Street Elementary,Los Angeles,90059,https://grapees-lausd-ca.schoolloop.com/,Yes
Renaissance High School for the Arts,Long Beach,90813,https://lbrhsa.schoolloop.com/,Yes
Rockford Elementary,Porterville,93257,http://rockfordschooldistrict.org/,Yes
Tenth Street Elementary,Los Angeles,90015,https://10thstreetes-lausd-ca.schoolloop.com/,Yes
Mountain Elementary,Soquel,95073,https://www.mountainesd.org/,Yes
Vintage Parkway Elementary,Oakley,94561,https://vin-ouesd-ca.schoolloop.com/,Yes
Roberts Ferry Union Elementary,Waterford,95386,http://www.robertsferry.k12.ca.us/,Yes
Paradise Elementary,Modesto,95358,https://www.paradiseesd.org/,Yes
Don Benito Fundamental,Pasadena,91107,https://www.pusd.us/donbenito,Yes
Dolores Street Elementary,Carson,90745,https://doloresstes-lausd-ca.schoolloop.com/,Yes
Union Avenue Elementary,Los Angeles,90057,https://uniones-lausd-ca.schoolloop.com/,Yes
Grover Beach Elementary,Grover Beach,93433,https://groverbeach.luciamarschools.org/,Yes
Walter Colton,Monterey,93940,https://wcms.mpusd.net/,Yes
Riley Elementary,Lakewood,90712,https://riley-lbusd-ca.schoolloop.com/,Yes
Canyon Charter Elementary,Santa Monica,90402,https://canyoncharter.membershiptoolkit.com/,Yes
Manual Arts Senior High,Los Angeles,90037,https://www.mahs.org/,Yes
Marina Childrens Center,Marina,93933,http://www.marinachildren.com/,Yes
Everett A. Rea Elementary,Costa Mesa,92627,https://rea.nmusd.us/,Yes
McKittrick Elementary,McKittrick,93251,https://mckittrickschool.org/,Yes
James Workman Middle,Cathedral City,92234,https://www.psusd.us/jwms,Yes
Willow Oaks Elementary,Menlo Park,94025,http://willowoaks.ravenswoodschools.org/,Yes
Landmark Middle,Moreno Valley,92555,https://landmark.mvusd.net/,Yes
Pinewood Elementary,Pollock Pines,95726,https://pes-ppesd-ca.schoolloop.com/,Yes
Twentynine Palms Elementary,Twentynine Palms,92277,http://www.morongousd.com/twentyninepalmselementaryschool_home.aspx,Yes
Camp Lockett Middle,Campo,91906,https://jm.meusd.org/,Yes
Twenty-Fourth Street Elementary,Los Angeles,90018,https://24thstreetes-lausd-ca.schoolloop.com/,Yes
Emerson Parkside Academy,Long Beach,90815,https://eme-lbusd-ca.schoolloop.com/,Yes
Judith F. Baca Arts Academy,Los Angeles,90002,https://bacaartsacademy-lausd-ca.schoolloop.com/,Yes
Paradise Ridge Elementary,Paradise,95969,http://www.pusdk12.org/SchoolsPrograms/Elementary--Intermediate-Schools/Paradise-Ridge-Elementary-School/index.html,Yes
Canyon Oaks High,Monrovia,91016,https://cohs.monroviaschools.net/,Yes
Golden Hills Elementary,Oroville,95966,https://goldenhills.palermoschools.org/,Yes
Soleado Elementary,Rancho Palos Verdes,90275,https://soleado.pvpusd.net/,Yes
R. Roger Rowe Middle,Rancho Santa Fe,92067,https://rsfschool.net/6-8school,Yes
Martin Luther King Jr. Elementary,Oakland,94607,https://www.ousd.org/Page/4739,Yes
Prescott,Oakland,94607,https://www.ousd.org/prescott,Yes
Robla Preschool,Sacramento,95838,https://preschool.robla.k12.ca.us/,Yes
Twain Elementary,Long Beach,90808,https://twain-lbusd-ca.schoolloop.com/,Yes
Bonita Elementary,Crows Landing,95313,https://www.nclusd.org/o/bonita-elementary,Yes
Eagle Rock Elementary,Los Angeles,90041,https://www.eaglerockelementary.org/,Yes
Fairfax Senior High,Los Angeles,90046,https://www.fairfaxhs.org/,Yes
Stagg Street Elementary,Van Nuys,91406,https://stagges-lausd-ca.schoolloop.com/,Yes
Cal Burke High,Panorama City,91402,https://calburkehs-lausd-ca.schoolloop.com/,Yes
Carson-Gore Academy of Enviornmental Studies,Los Angeles,90018,https://carsongore-lausd-ca.schoolloop.com/,Yes
Montebello Gardens Elementary,Pico Rivera,90660,https://mge-montebellousd-ca.schoolloop.com/,Yes
Kingsbury Elementary,Redlands,92373,https://www.redlandsusd.net/kingsbury,Yes
Neil Hafley Elementary,Manteca,95336,https://www.mantecausd.net/neilhafley,Yes
Los Alamitos Elementary,Los Alamitos,90720,https://lae.losal.org/,Yes
Piedmont Middle,Piedmont,94611,https://www.piedmont.k12.ca.us/pms/,Yes
Paramount Unified Community Day,Paramount,90723,https://www.paramount.k12.ca.us/apps/pages/index.jsp?uREC_ID=51457&type=d,Yes
Bandini Elementary,City Of Commerce,90040,https://bae-montebellousd-ca.schoolloop.com/,Yes
William & Marian Ghidotti High,Grass Valley,95945,https://ghidotti.njuhsd.com/,Yes
Modesto High,Modesto,95351,https://mhs.mcs4kids.com/,Yes
Edgemont Elementary,Moreno Valley,92553,https://edgemont.mvusd.net/,Yes
Joaquin Miller Elementary,Oakland,94611,https://www.ousd.org/joaquinmiller,Yes
Hercules High,Hercules,94547,https://www.wccusd.net/herculeshigh,Yes
James C. Enochs High,Modesto,95355,https://enochs.mcs4kids.com/,Yes
Lynwood Elementary,Novato,94947,https://lynwood.nusd.org/,Yes
Descanso Elementary,Descanso,91916,https://de.meusd.org/,Yes
Martin Luther King Jr. Middle,Madera,93638,https://www.madera.k12.ca.us/king,Yes
Loma Vista Immersion Academy,Petaluma,94954,https://www.oldadobe.org/Domain/9,Yes
Washington Elementary,Montebello,90640,https://wae-montebellousd-ca.schoolloop.com/,Yes
Monta Loma Elementary,Mountain View,94043,https://montaloma.mvwsd.org/,Yes
Travis Ranch,Yorba Linda,92887,https://www.travisranchschool.org/,Yes
William Burnett Elementary,Milpitas,95035,https://burnett.musd.org/,Yes
Montemalaga Elementary,Palos Verdes Estates,90274,https://montemalaga.pvpusd.net/,Yes
Canoga Park Senior High,Canoga Park,91303,https://www.canogaparkhs.org/,Yes
Beethoven Street Elementary,Los Angeles,90066,https://www.beethovenschool.org/,Yes
