SCH_NAME,LCITY,LZIP
Jackson Elementary,Jackson,95642
Pine Grove Elementary STEM Magnet,Jackson,95642
Pioneer Magnet School for the Visual and Performing Arts,Pioneer,95666
Plymouth Elementary,Plymouth,95669
Sutter Creek Elementary,Sutter Creek,95685
Jackson Junior High,Jackson,95642
Ione Junior High,Jackson,95642
California Virtual Academy at Maricopa,Simi Valley,93065
Aspire River Oaks Charter,Stockton,95210
Alliance College-Ready Middle Academy 12,Los Angeles,90011
Grimmway Academy,Arvin,93203
Puente Charter,Los Angeles,90033
Fenton Charter Leadership Academy,Sun Valley,91352
KIPP Summit Academy,San Lorenzo,94580
Oakland School for the Arts,Oakland,94612
Aurum Preparatory Academy,Oakland,94621
Yosemite Valley Charter,Fresno,93720
Animo Venice Charter High,Venice,90291
ARISE High,Oakland,94601
Rocky Point Charter,Redding,96003
iEmpire Academy,San Bernardino,92404
Vista Real Charter High,Oxnard,93030
Century Academy for Excellence,Inglewood,90305
Sherman Thomas Charter,Madera,93638
Valley Charter Middle,Van Nuys,91405
Big Sur Charter,Monterey,93940
TEACH Tech Charter High,Los Angeles,90047
Animo Inglewood Charter High,Inglewood,90305
Aspire Gateway Academy Charter,South Gate,90280
Western Sierra Collegiate Academy,Rocklin,95765
New Los Angeles Charter Elementary,Los Angeles,90016
Aspire Vincent Shalvey Academy,Stockton,95212
Sebastopol Independent Charter,Sebastopol,95472
Valley View Charter Prep,Stockton,95207
Legacy Academy,San Jose,95112
Olive Grove Charter - Santa Barbara,Santa Barbara,93109
KIPP Valiant Community Prep,East Palo Alto,94303
iLEAD Hybrid,Acton,93510
MIT Academy,Vallejo,94589
Equitas Academy #2,Los Angeles,90005
Elite Public,Vallejo,94589
Sycamore Creek Community Charter,Huntington Beach,92647
Excel Academy Charter,Irvine,92618
California Connections Academy Central Coast,New Cuyama,93254
Lashon Academy City,Los Angeles,90018
Pathways Academy Charter - Adult Education,San Marcos,92069
Scholarship Prep - South Bay,Wilmington,90744
Peak Prep Pleasant Valley,Rocklin,95765
Kidinnu Academy,El Cajon,92021
KIPP Pueblo Unido,Maywood,90270
Watsonville Prep,Watsonville,95076
The Learning Choice Academy - East County,La Mesa,91941
GANAS Academy,Carson,90745
Excel Academy Charter,Irvine,92618
Brookfield Engineering Science Technology Academy,Julian,92036
Options For Youth - Duarte Inc,City Of Industry,91744
Academy of Media Arts,Los Angeles,90062
Equitas Academy 6,Los Angeles,90015
Sage Oak Charter - South,Redlands,92373
Shasta View Academy,Redding,96003
International School for Science and Culture,Costa Mesa,92627
Monarch River Academy,Porterville,93257
California Innovative Career Academy,Sacramento,95838
California Pacific Charter - Sonoma,Newport Beach,92663
Garvey/Allen Visual & Performing Arts Academy for STEM,Moreno Valley,92553
Heartwood Charter,Petaluma,94952
Mission Vista Academy,Temecula,92590
Vista Horizon Global Academy,Los Angeles,90006
Granite Mountain Charter,Lucerne Valley,92356
California Connections Academy Monterey Bay,Scotts Valley,95066
Sycamore Academy of Science and Cultural Arts - Chino Valley,Chino Hills,91709
Mary L. Booker Leadership Academy,San Francisco,94115
Lake View Charter,Orland,95963
Compass Charter School of Yolo,Thousand Oaks,91361
Equitas Academy 5,Los Angeles,90015
Hayward Collegiate Charter,Hayward,94544
Cottonwood,El Dorado Hills,95762
Triumph Academy,Lucerne Valley,92356
Barton (Clara) Elementary,Anaheim,92804
Edison (Thomas) Elementary,Anaheim,92805
Franklin (Benjamin) Elementary,Anaheim,92805
Gauer (Melbourne A.) Elementary,Anaheim,92801
Guinn (James M.) Elementary,Anaheim,92806
Henry (Patrick) Elementary,Anaheim,92801
Jefferson (Thomas) Elementary,Anaheim,92805
Juarez (Benito) Elementary,Anaheim,92806
Lincoln (Abraham) Elementary,Anaheim,92805
Loara Elementary,Anaheim,92802
Madison (James) Elementary,Anaheim,92804
Mann (Horace) Elementary,Anaheim,92801
Marshall (John) Elementary,Anaheim,92801
Price (Adelaide) Elementary,Anaheim,92801
Revere (Paul) Elementary,Anaheim,92805
Roosevelt (Theodore) Elementary,Anaheim,92805
Ross (Betsy) Elementary,Anaheim,92802
Stoddard (Alexander J.) Elementary,Anaheim,92802
Sunkist Elementary,Anaheim,92804
Olive Street Elementary,Anaheim,92805
Westmont Elementary,Anaheim,92801
Orange Grove Elementary,Anaheim,92805
Ponderosa Elementary,Anaheim,92802
Anaheim High,Anaheim,92805
Ball Junior High,Anaheim,92802
Brookhurst Junior High,Anaheim,92801
Cypress High,Cypress,90630
Dale Junior High,Anaheim,92804
Gilbert High (Continuation),Anaheim,92804
Hope,Buena Park,90620
Katella High,Anaheim,92806
John F. Kennedy High,La Palma,90623
Lexington Junior High,Cypress,90630
Loara High,Anaheim,92804
Magnolia High,Anaheim,92804
Orangeview Junior High,Anaheim,92804
Savanna High,Anaheim,92801
South Junior High,Anaheim,92806
Sycamore Junior High,Anaheim,92805
Walker Junior High,La Palma,90623
Western High,Anaheim,92804
Oxford Academy,Cypress,90630
Polaris High (Alternative),Anaheim,92804
Analy High,Sebastopol,95472
El Molino High,Forestville,95436
Laguna High,Sebastopol,95472
West Sonoma County Consortium School,Sebastopol,95472
West County Charter Middle,Forestville,95436
Anderson High,Anderson,96007
North Valley High,Anderson,96007
Oakview High (Alternative),Anderson,96007
Anderson Community Day,Anderson,96007
West Valley High,Cottonwood,96022
Anderson New Technology High,Anderson,96007
Anderson Valley Elementary,Boonville,95415
Anderson Valley Junior-Senior High,Boonville,95415
Rancheria Continuation,Boonville,95415
Antelope Elementary,Red Bluff,96080
Berrendos Middle,Red Bluff,96080
Plum Valley Elementary,Paynes Creek,96075
Lassen-Antelope Volcanic Academy (LAVA),Red Bluff,96080
Antelope Valley High,Lancaster,93535
Desert Winds Continuation High,Lancaster,93535
Palmdale High,Palmdale,93550
Quartz Hill High,Quartz Hill,93536
Lancaster High,Lancaster,93536
Phoenix High Community Day,Lancaster,93535
Highland High,Palmdale,93551
Littlerock High,Littlerock,93543
R. Rex Parris High,Palmdale,93550
Eastside High,Lancaster,93535
William J. (Pete) Knight High,Palmdale,93552
SOAR High (Students On Academic Rise),Lancaster,93536
Academies of the Antelope Valley,Quartz Hill,93536
Jack London Elementary,Antioch,94531
Antioch High,Antioch,94509
Antioch Middle,Antioch,94509
Belshaw Elementary,Antioch,94509
Fremont Elementary,Antioch,94509
Kimball Elementary,Antioch,94509
Live Oak High (Continuation),Antioch,94509
Marsh Elementary,Antioch,94509
Mission Elementary,Antioch,94509
Park Middle,Antioch,94509
Sutter Elementary,Antioch,94509
Turner Elementary,Antioch,94509
Black Diamond Middle,Antioch,94531
Deer Valley High,Antioch,94531
Bridges,Antioch,94509
Grant Elementary,Antioch,94531
Diablo Vista Elementary,Antioch,94531
Prospects High (Alternative),Antioch,94509
Muir (John) Elementary,Antioch,94509
Carmen Dragon Elementary,Antioch,94531
Dallas Ranch Middle,Antioch,94531
Lone Tree Elementary,Antioch,94531
Bidwell Continuation High,Antioch,94509
Orchard Park,Oakley,94561
Dozier-Libbey Medical High,Antioch,94531
Arcadia High,Arcadia,91007
Baldwin Stocker Elementary,Arcadia,91007
Camino Grove Elementary,Arcadia,91007
Richard Henry Dana Middle,Arcadia,91006
First Avenue Middle,Arcadia,91006
Foothills Middle,Arcadia,91006
Highland Oaks Elementary,Arcadia,91006
Holly Avenue Elementary,Arcadia,91007
Hugo Reid Elementary,Arcadia,91007
Longley Way Elementary,Arcadia,91007
Rancho Learning Center (Alternative),Arcadia,91006
Sunny Brae Middle,Arcata,95521
Arcata Elementary,Arcata,95521
Arcata High,Arcata,95521
McKinleyville High,McKinleyville,95519
Pacific Coast High (Continuation),Arcata,95521
Mad River High (Continuation),McKinleyville,95521
Six Rivers Charter High,Arcata,95521
Arcohe Elementary,Herald,95638
Arena Elementary,Point Arena,95468
Armona Elementary,Armona,93202
Parkview Middle,Armona,93202
Crossroads Charter,Hanford,93230
Haven Drive Middle,Arvin,93203
Sierra Vista Elementary,Arvin,93203
Bear Mountain Elementary,Arvin,93203
El Camino Real Elementary,Arvin,93203
Atascadero High,Atascadero,93422
Atascadero Middle,Atascadero,93422
Carrisa Plains Elementary,Santa Margarita,93453
Creston Elementary,Creston,93432
Monterey Road Elementary,Atascadero,93422
Santa Margarita Elementary,Santa Margarita,93453
Santa Rosa Road Academic Academy,Atascadero,93422
San Benito Elementary,Atascadero,93422
Paloma Creek High,Atascadero,93422
Fine Arts Academy,Atascadero,93422
San Gabriel Elementary,Atascadero,93422
Atascadero Choices in Education Academy (ACE),Atascadero,93422
Aileen Colburn Elementary,Atwater,95301
Bellevue Elementary,Atwater,95301
Elmer Wood Elementary,Atwater,95301
Mitchell Elementary,Atwater,95301
Mitchell Intermediate,Atwater,95301
Shaffer Elementary,Atwater,95301
Thomas Olaeta Elementary,Atwater,95301
Peggy Heller Elementary,Atwater,95301
Atwater Senior Academy,Atwater,95301
Bellevue Senior Elementary,Atwater,95301
EV Cain Middle,Auburn,95603
Rock Creek Elementary,Auburn,95603
Auburn Elementary,Auburn,95603
Skyridge Elementary,Auburn,95603
Alta Vista Community Charter,Auburn,95603
Azusa High,Azusa,91702
Center Middle,Azusa,91702
Henry Dalton Elementary,Azusa,91702
Alice M. Ellington Elementary,Covina,91722
Foothill Middle,Azusa,91702
Gladstone High,Covina,91722
Gladstone Street Elementary,Azusa,91702
Victor F. Hodge Elementary,Azusa,91702
Charles H. Lee Elementary,Azusa,91702
Magnolia Elementary,Azusa,91702
Mountain View Elementary,Azusa,91702
Clifford D. Murray Elementary,Azusa,91702
Paramount Elementary,Azusa,91702
W. R. Powell Elementary,Azusa,91702
Sierra High,Azusa,91702
Slauson Intermediate,Azusa,91702
Valleydale Elementary,Azusa,91702
Longfellow,Azusa,91702
Baker Elementary,Baker,92309
Baker High,Baker,92309
Baker Junior High,Baker,92309
Casa Loma Elementary,Bakersfield,93307
Chipman Junior High,Bakersfield,93306
College Heights Elementary,Bakersfield,93305
Compton Junior High,Bakersfield,93306
Curran Middle,Bakersfield,93309
Henry Eissler Elementary,Bakersfield,93306
Emerson Middle,Bakersfield,93304
Frank West Elementary,Bakersfield,93304
Franklin Elementary,Bakersfield,93301
Fremont Elementary,Bakersfield,93307
Harding Elementary,Bakersfield,93306
Caroline Harris Elementary,Bakersfield,93309
Horace Mann Elementary,Bakersfield,93306
Hort Elementary,Bakersfield,93306
Jefferson Elementary,Bakersfield,93305
Longfellow Elementary,Bakersfield,93305
McKinley Elementary,Bakersfield,93304
Mt. Vernon Elementary,Bakersfield,93307
Munsey Elementary,Bakersfield,93309
Colonel Howard Nichols Elementary,Bakersfield,93306
Myra A. Noble Elementary,Bakersfield,93305
Bessie E. Owens Primary,Bakersfield,93307
Leo G. Pauly Elementary,Bakersfield,93304
Pioneer Drive Elementary,Bakersfield,93306
Rafer Johnson Childrens Center,Bakersfield,93304
Roosevelt Elementary,Bakersfield,93304
Sierra Middle,Bakersfield,93306
Voorhies Elementary,Bakersfield,93306
Washington Middle,Bakersfield,93305
Wayside Elementary,Bakersfield,93307
William Penn Elementary,Bakersfield,93304
Williams Elementary,Bakersfield,93305
Walter Stiern Middle,Bakersfield,93306
Cesar E. Chavez Elementary,Bakersfield,93306
Evergreen Elementary,Bakersfield,93304
Sequoia Middle,Bakersfield,93304
Downtown Elementary,Bakersfield,93301
Bessie E. Owens Intermediate,Bakersfield,93305
Ramon Garza Elementary,Bakersfield,93306
Stella I. Hills Elementary,Bakersfield,93301
Dr. Juliet Thorner Elementary,Bakersfield,93306
Paul L. Cato Middle,Bakersfield,93306
Dr. Douglas K. Fletcher Elementary,Bakersfield,93306
Rafer Johnson,Bakersfield,93304
Baldwin Park High,Baldwin Park,91706
Charles Bursch Elementary,Baldwin Park,91706
Central Elementary,Baldwin Park,91706
Charles D. Jones Junior High,Baldwin Park,91706
De Anza Elementary,Baldwin Park,91706
Elwin Elementary,Baldwin Park,91706
Foster Elementary,Baldwin Park,91706
Ernest R. Geddes Elementary,Baldwin Park,91706
Kenmore Elementary,Baldwin Park,91706
Jerry D. Holland Middle,Baldwin Park,91706
Margaret Heath Elementary,Baldwin Park,91706
North Park Continuation High,Baldwin Park,91706
Olive Middle,Baldwin Park,91706
Pleasant View Elementary,Baldwin Park,91706
Sierra Vista High,Baldwin Park,91706
Sierra Vista Junior High,Baldwin Park,91706
Tracy Elementary,Baldwin Park,91706
Vineland Elementary,Baldwin Park,91706
Walnut Elementary,Baldwin Park,91706
Santa Fe Fundamental,Baldwin Park,91706
Ballard Elementary,Solvang,93463
Ballico-Cressey Community Charter,Ballico,95303
Cressey Elementary,Cressey,95312
Bangor Elementary,Bangor,95914
Banning High,Banning,92220
Central Elementary,Banning,92220
Hemmerling Elementary,Banning,92220
Hoffer Elementary,Banning,92220
New Horizon High,Banning,92220
Nicolet Middle,Banning,92220
Banning Independent Study,Banning,92220
Cabazon Elementary,Cabazon,92230
Banning PreK,Banning,92220
Florida Street Discovery Center,Banning,92220
Renu Hope Preschool,Banning,92220
Banta Elementary,Tracy,95304
Barstow High,Barstow,92311
Barstow Junior High,Barstow,92311
Cameron Elementary,Barstow,92311
Central High (Continuation),Barstow,92311
Crestline Elementary,Barstow,92311
Henderson Elementary,Barstow,92311
Lenwood Elementary,Lenwood,92311
Montara Elementary,Barstow,92311
Skyline North Elementary,Barstow,92311
Challenges Community Day,Lenwood,92311
BUSD School of Opportunity,Barstow,92311
Barstow STEM Academy,Barstow,92311
Barstow Fine Arts Academy,Barstow,92311
Fresno Flats Community Day,Ahwahnee,93601
Oakhurst Elementary,Oakhurst,93644
Oak Creek Intermediate,Oakhurst,93644
Wasuma Elementary,Ahwahnee,93601
Bassett Senior High,La Puente,91746
Edgewood Academy,La Puente,91746
Nueva Vista Continuation High,La Puente,91746
Sunkist Elementary,La Puente,91746
Torch Middle,City Of Industry,91746
J. E. Van Wig Elementary,La Puente,91746
Don Julian Elementary,La Puente,91746
Bayshore,Daly City,94014
Big Bear High,Big Bear City,92314
Big Bear Middle,Big Bear Lake,92315
Fallsvale,Forest Falls,92339
North Shore Elementary,Big Bear Lake,92315
Baldwin Lane Elementary,Big Bear City,92314
Chautauqua High (Continuation),Big Bear City,92314
Big Bear Elementary,Big Bear Lake,92315
Beardsley Junior High,Bakersfield,93308
Beardsley Elementary,Bakersfield,93308
North Beardsley Elementary,Bakersfield,93308
San Lauren Elementary,Bakersfield,93308
Beaumont Senior High,Beaumont,92223
Mountain View Middle,Beaumont,92223
Palm Innovation Academy,Beaumont,92223
Glen View High,Beaumont,92223
Three Rings Ranch Elementary,Beaumont,92223
Brookside Elementary,Beaumont,92223
San Gorgonio Middle,Beaumont,92223
Sundance Elementary,Beaumont,92223
Tournament Hills Elementary,Beaumont,92223
Anna Hause Elementary,Beaumont,92223
Beaumont USD Preschool,Beaumont,92223
21st Century Learning Institute,Beaumont,92223
Starlight Elementary,Beaumont,92223
Bella Vista Elementary,Bella Vista,96008
Bellevue Elementary,Santa Rosa,95407
Kawana Springs Elementary,Santa Rosa,95404
Meadow View Elementary,Santa Rosa,95407
Taylor Mountain Elementary,Santa Rosa,95407
Bellflower High,Bellflower,90706
Stephen Foster Elementary,Lakewood,90712
Thomas Jefferson Elementary,Bellflower,90706
Esther Lindstrom Elementary,Lakewood,90713
Mayfair High,Lakewood,90713
Ernie Pyle Elementary,Bellflower,90706
Ramona Elementary,Bellflower,90706
Somerset Continuation High,Bellflower,90706
Washington Elementary,Bellflower,90706
Bellflower Alternative Education Center,Bellflower,90706
Albert Baxter Elementary,Bellflower,90706
Intensive Learning Center,Lakewood,90712
Frank E. Woodruff Elementary,Bellflower,90706
Craig Williams Elementary,Lakewood,90712
Las Flores Home Education Independent Study Academy,Bellflower,90706
Belleview Elementary,Sonora,95370
Belleview Special Education Preschool,Sonora,95370
Central Elementary,Belmont,94002
Fox Elementary,Belmont,94002
Nesbit Elementary,Belmont,94002
Ralston Intermediate,Belmont,94002
Cipriani Elementary,Belmont,94002
Sandpiper Elementary,Redwood City,94065
Redwood Shores Elementary,Redwood City,94065
Belridge Elementary,McKittrick,93251
Benicia High,Benicia,94510
Benicia Middle,Benicia,94510
Mary Farmar Elementary,Benicia,94510
Liberty High,Benicia,94510
Robert Semple Elementary,Benicia,94510
Matthew Turner Elementary,Benicia,94510
Joe Henderson Elementary,Benicia,94510
Community Day,Benicia,94510
Strawberry Elementary,Santa Rosa,95405
Yulupa Elementary,Santa Rosa,95405
Berkeley Arts Magnet at Whittier,Berkeley,94709
Berkeley High,Berkeley,94704
Emerson Elementary,Berkeley,94705
Jefferson Elementary,Berkeley,94702
Martin Luther King Middle,Berkeley,94703
Sylvia Mendez Elementary,Berkeley,94705
Longfellow Arts and Technology Middle,Berkeley,94703
Malcolm X Elementary,Berkeley,94703
Oxford Elementary,Berkeley,94707
Thousand Oaks Elementary,Berkeley,94707
Washington Elementary,Berkeley,94704
Rosa Parks Environmental Science,Berkeley,94710
Cragmont Elementary,Berkeley,94708
Willard Middle,Berkeley,94705
John Muir Elementary,Berkeley,94705
Berkeley Technology Academy,Berkeley,94704
Berkeley Special Education Preschool,Berkeley,94704
Brooktree Elementary,San Jose,95131
Cherrywood Elementary,San Jose,95132
Laneview Elementary,San Jose,95132
Majestic Way Elementary,San Jose,95132
Morrill Middle,San Jose,95132
Noble Elementary,San Jose,95132
Northwood Elementary,San Jose,95132
Piedmont Middle,San Jose,95132
Ruskin Elementary,San Jose,95132
Sierramont Middle,San Jose,95132
Summerdale Elementary,San Jose,95132
Toyon Elementary,San Jose,95127
Vinci Park Elementary,San Jose,95131
Berryessa Union Elementary,San Jose,95132
Moreno High (Continuation),Beverly Hills,90212
Beverly Hills High,Beverly Hills,90212
Beverly Vista Elementary,Beverly Hills,90212
El Rodeo Elementary,Beverly Hills,90210
Hawthorne Elementary,Beverly Hills,90210
Horace Mann Elementary,Beverly Hills,90211
Big Creek Elementary,Big Creek,93605
Big Lagoon Elementary,Trinidad,95570
Big Pine Elementary,Big Pine,93513
Big Pine High,Big Pine,93513
Big Springs Elementary,Montague,96064
Big Valley Jr. Sr. High,Bieber,96009
Big Valley Elementary,Bieber,96009
Biggs Elementary,Biggs,95917
Biggs High,Biggs,95917
Richvale Elementary,Richvale,95974
Bitterwater-Tully Elementary,King City,93930
Black Butte Elementary,Shingletown,96088
Black Butte Junior High,Shingletown,96088
Otter Creek Elementary,Georgetown,95634
Georgetown Elementary,Georgetown,95634
Golden Sierra Junior Senior High,Garden Valley,95633
Divide High,Georgetown,95634
Northside Elementary,Cool,95614
American River Charter,Georgetown,95634
Blake Elementary,Woody,93287
Benjamin Foxen Elementary,Santa Maria,93454
Blue Lake Union Elementary,Blue Lake,95525
Bogus Elementary,Montague,96064
Bolinas-Stinson Elementary,Bolinas,94924
Bonita Elementary,Santa Maria,93458
Adam (William Laird) Elementary,Santa Maria,93458
Alvin Elementary,Santa Maria,93454
Arellanes (Don Juan Bautista) Elementary,Santa Maria,93455
El Camino Junior High,Santa Maria,93458
Fairlawn Elementary,Santa Maria,93458
Fesler (Isaac) Junior High,Santa Maria,93454
Tunnell (Martin Luther) Elementary,Santa Maria,93454
Miller (Isaac) Elementary,Santa Maria,93454
Oakley (Calvin C.) Elementary,Santa Maria,93458
Rice (William) Elementary,Santa Maria,93454
Bruce (Robert) Elementary,Santa Maria,93458
Battles (Washington) Elementary,Santa Maria,93454
Ontiveros (Juan Pacifico) Elementary,Santa Maria,93458
Taylor (Ida Redmond) Elementary,Santa Maria,93454
Arellanes Junior High,Santa Maria,93455
Sanchez (David J.) Elementary,Santa Maria,93458
Kunst (Tommie) Junior High,Santa Maria,93458
Liberty Elementary,Santa Maria,93458
Jim?nez Roberto and Dr. Francisco Elementary,Santa Maria,93458
Allen Avenue Elementary,San Dimas,91773
Arma J. Shull Elementary,San Dimas,91773
Bonita High,La Verne,91750
Chaparral High (Continuation),San Dimas,91773
Fred Ekstrand Elementary,San Dimas,91773
Gladstone Elementary,San Dimas,91773
Grace Miller Elementary,La Verne,91773
J. Marion Roynon Elementary,La Verne,91750
La Verne Heights Elementary,La Verne,91773
Lone Hill Middle,San Dimas,91773
Ramona Middle,San Dimas,91773
San Dimas High,San Dimas,91773
Vista (Alternative),San Dimas,91773
Oak Mesa Elementary,La Verne,91750
Adult Transition Program,San Dimas,91773
Bonny Doon Elementary,Santa Cruz,95060
Borrego Springs Elementary,Borrego Springs,92004
Borrego Springs High,Borrego Springs,92004
Borrego Springs Middle,Borrego Springs,92004
Bradley Elementary,Bradley,93426
Barbara Worth Junior High,Brawley,92227
Miguel Hidalgo Elementary,Brawley,92227
J. W. Oakley Elementary,Brawley,92227
Myron D. Witter Elementary,Brawley,92227
Phil D. Swing Elementary,Brawley,92227
Brawley Union High,Brawley,92227
Desert Valley High (Continuation),Brawley,92227
Renaissance,Brawley,92227
Arovista Elementary,Brea,92821
Brea Junior High,Brea,92821
Brea Canyon High (Continuation),Brea,92821
Brea-Olinda High,Brea,92821
Laurel Elem Magnet Sch of Innovation and Career Explr,Brea,92821
Mariposa Elementary,Brea,92821
Olinda Elementary,Brea,92821
Fanning Academy of Science and Technology,Brea,92821
Brea Country Hills Elementary,Brea,92821
Brentwood Elementary,Brentwood,94513
Edna Hill Middle,Brentwood,94513
Garin Elementary,Brentwood,94513
William B. Bristow Middle,Brentwood,94513
Loma Vista Elementary,Brentwood,94513
Ron Nunn Elementary,Brentwood,94513
R. Paul Krey Elementary,Brentwood,94513
Pioneer Elementary,Brentwood,94513
Marsh Creek Elementary,Brentwood,94513
Adams (J. Douglas) Middle,Brentwood,94513
Mary Casey Black Elementary,Brentwood,94513
Bret Harte Union High,Angels Camp,95221
Vallecito Continuation High,Altaville,95221
John Vierra High,Angels Camp,95221
Bridgeville Elementary,Bridgeville,95526
Briggs Elementary,Santa Paula,93060
Olivelands Elementary,Santa Paula,93060
Brisbane Elementary,Brisbane,94005
Lipman Middle,Brisbane,94005
Panorama Elementary,Daly City,94014
Brittan Elementary,Sutter,95982
Browns Elementary,Rio Oso,95674
Silva Valley Elementary,El Dorado Hills,95762
Buckeye Elementary,Shingle Springs,95682
Camerado Springs Middle,Cameron Park,95682
William Brooks Elementary,El Dorado Hills,95762
Rolling Hills Middle,El Dorado Hills,95762
Blue Oak Elementary,Cameron Park,95682
Charter Montessori Valley View Campus,El Dorado Hills,95762
Oak Meadow Elementary,El Dorado Hills,95762
Buckeye Union Mandarin Immersion Charter,El Dorado Hills,95762
Jonata Middle,Buellton,93427
Oak Valley Elementary,Buellton,93427
Gordon H. Beatty Elementary,Buena Park,90621
Buena Park Junior High,Buena Park,90620
Arthur F. Corey Elementary,Buena Park,90620
Charles G. Emery Elementary,Buena Park,90621
Carl E. Gilbert Elementary,Buena Park,90621
Mabel L. Pendleton Elementary,Buena Park,90621
James A. Whitaker Elementary,Buena Park,90621
Buena Vista Elementary,Bakersfield,93311
Earl Warren Junior High,Bakersfield,93311
Bill L. Williams Elementary,Bakersfield,93313
Ronald Reagan Elementary,Bakersfield,93311
Amy B. Seibert Elementary,Bakersfield,93304
Fred L. Thompson Junior High,Bakersfield,93309
Panama Elementary,Bakersfield,93313
Stine Elementary,Bakersfield,93309
Wayne Van Horn Elementary,Bakersfield,93309
Charles H. Castle Elementary,Bakersfield,93309
Stockdale Elementary,Bakersfield,93309
O. J. Actis Junior High,Bakersfield,93309
Louise Sandrini Elementary,Bakersfield,93309
Sing Lum Elementary,Bakersfield,93311
Laurelglen Elementary,Bakersfield,93309
Tevis Junior High,Bakersfield,93311
Leo B. Hart Elementary,Bakersfield,93311
Roy W. Loudon Elementary,Bakersfield,93313
Christa McAuliffe Elementary,Bakersfield,93311
Berkshire Elementary,Bakersfield,93313
Stonecreek Junior High,Bakersfield,93313
Old River Elementary,Bakersfield,93311
Douglas J. Miller Elementary,Bakersfield,93313
Dolores S. Whitley Elementary,Bakersfield,93313
Buena Vista Elementary,Tulare,93274
Burbank High,Burbank,91502
Burroughs High,Burbank,91506
Walt Disney Elementary,Burbank,91506
Thomas Edison Elementary,Burbank,91506
Ralph Emerson Elementary,Burbank,91501
Bret Harte Elementary,Burbank,91505
Thomas Jefferson Elementary,Burbank,91504
David Starr Jordan Middle,Burbank,91506
Luther Burbank Middle,Burbank,91505
William McKinley Elementary,Burbank,91506
Joaquin Miller Elementary,Burbank,91501
John Muir Middle,Burbank,91504
Providencia Elementary,Burbank,91505
Theodore Roosevelt Elementary,Burbank,91505
R. L. Stevenson Elementary,Burbank,91505
George Washington Elementary,Burbank,91504
Magnolia Park,Burbank,91506
Burbank USD Community Day,Burbank,91502
Monterey High (Continuation),Burbank,91506
Horace Mann,Burbank,91504
Burbank Unified Independent Learning Academy (BUILA),Burbank,91505
Burlingame Intermediate,Burlingame,94010
Franklin Elementary,Burlingame,94010
Lincoln Elementary,Burlingame,94010
McKinley Elementary,Burlingame,94010
Washington Elementary,Burlingame,94010
Roosevelt Elementary,Burlingame,94010
BSD Preschool,Burlingame,94010
Hoover Elementary,Burlingame,94010
Burnt Ranch Elementary,Burnt Ranch,95527
Burrel Elementary,Riverdale,93656
Burton Elementary,Porterville,93257
William R. Buckley Elementary,Porterville,93257
Burton Middle,Porterville,93257
Oak Grove Elementary,Porterville,93257
Jim Maples Academy,Porterville,93257
Summit Charter Academy,Porterville,93257
Burton Community Day,Porterville,93257
Butte Valley High,Dorris,96023
Butte Valley Elementary,Dorris,97601
Cascade High,Dorris,96023
Picard Community Day Elementary,Dorris,96023
Butteville Elementary,Weed,96094
Buttonwillow Elementary,Buttonwillow,93206
Excelsior Middle,Byron,94514
Discovery Bay Elementary,Discovery Bay,94505
Timber Point Elementary,Discovery Bay,94505
Byron Institute for Independent Study,Discovery Bay,94505
Alvin S. Hatch Elementary,Half Moon Bay,94019
El Granada Elementary,Half Moon Bay,94019
Farallone View Elementary,Montara,94037
Half Moon Bay High,Half Moon Bay,94019
Kings Mountain Elementary,Woodside,94062
Manuel F. Cunha Intermediate,Half Moon Bay,94019
Pilarcitos Alternative High (Continuation),Half Moon Bay,94019
Anza Elementary,El Cajon,92020
Avocado Elementary,La Mesa,91941
Bostonia Language Academy,El Cajon,92021
Cajon Valley Middle,El Cajon,92020
Chase Avenue Elementary,El Cajon,92020
Crest Elementary,El Cajon,92021
Emerald Middle,El Cajon,92020
Flying Hills School of Arts,El Cajon,92020
Fuerte Elementary,El Cajon,92020
Greenfield Middle,El Cajon,92021
W. D. Hall Elementary,El Cajon,92021
Johnson Elementary,El Cajon,92020
Lexington Elementary,El Cajon,92019
Madison Avenue Elementary,El Cajon,92019
Magnolia Elementary,El Cajon,92021
Meridian Elementary,El Cajon,92019
Montgomery Middle,El Cajon,92019
Naranca Elementary,El Cajon,92021
Rios Elementary,El Cajon,92021
Jamacha Elementary,El Cajon,92019
Blossom Valley Elementary,El Cajon,92021
Hillsdale Middle,El Cajon,92019
Vista Grande Elementary,El Cajon,92019
Cajon Valley Home,El Cajon,92021
Rancho San Diego Elementary,El Cajon,92019
Los Coches Creek Middle,El Cajon,92021
Sevick Special Education,El Cajon,92019
Empower,El Cajon,92020
Calaveras High,San Andreas,95249
Gold Strike High,San Andreas,95249
Mokelumne Hill Elementary,Mokelumne Hill,95245
Rail Road Flat Elementary,Rail Road Flat,95248
San Andreas Elementary,San Andreas,95249
Valley Springs Elementary,Valley Springs,95252
West Point Elementary,West Point,95255
Toyon Middle,Valley Springs,95252
Calaveras Unified Alternative-Sierra Hills Education Center,San Andreas,95249
Jenny Lind Elementary,Valley Springs,95252
Aurora High (Continuation),Calexico,92231
Calexico High,Calexico,92231
Dool Elementary,Calexico,92231
Jefferson Elementary,Calexico,92231
Kennedy Gardens Elementary,Calexico,92231
Mains Elementary,Calexico,92231
Rockwood Elementary,Calexico,92231
William Moreno Junior High,Calexico,92231
