SCH_NAME,LCITY,LZIP
Canyon Lake Middle,Lake Elsinore,92532
Lakeside High,Lake Elsinore,92530
Ronald Reagan Elementary,Wildomar,92595
Earl Warren Elementary,Lake Elsinore,92532
Keith McCarthy Academy,Lake Elsinore,92530
Lakeland Village,Lake Elsinore,92530
Preschool,Lake Elsinore,92580
Vail Ranch Middle,Temecula,92592
Paloma Elementary,Temecula,92592
Pauba Valley Elementary,Temecula,92592
Chaparral High,Temecula,92591
Vintage Hills Elementary,Temecula,92592
Helen Hunt Jackson Elementary,Temecula,92592
Abby Reinke Elementary,Temecula,92592
James L. Day Middle,Temecula,92591
Temecula Valley High,Temecula,92592
Rancho Vista High,Temecula,92592
Temecula Middle,Temecula,92592
Vail Elementary,Temecula,92592
Rancho Elementary,Temecula,92591
Margarita Middle,Temecula,92591
Temecula Elementary,Temecula,92591
Nicolas Valley Elementary,Temecula,92591
Red Hawk Elementary,Temecula,92592
Ysabel Barnett Elementary,Temecula,92591
Susan H. Nelson,Temecula,92592
Great Oak High,Temecula,92592
Alamos Elementary,Murrieta,92563
Bella Vista Middle,Murrieta,92563
Crowne Hill Elementary,Temecula,92592
Susan La Vorgna Elementary,Winchester,92596
Tony Tobin Elementary,Temecula,92592
French Valley Elementary,Winchester,92596
Erle Stanley Gardner Middle,Temecula,92592
Temecula Luiseno Elementary,Temecula,92592
Thompson Middle,Murrieta,92562
Tovashal Elementary,Murrieta,92562
Cole Canyon Elementary,Murrieta,92562
Murrieta Elementary,Murrieta,92562
Avaxat Elementary,Murrieta,92562
Alta Murrieta Elementary,Murrieta,92563
E. Hale Curran Elementary,Murrieta,92562
Rail Ranch Elementary,Murrieta,92563
Murrieta Valley High,Murrieta,92562
Shivela Middle,Murrieta,92562
Daniel N. Buchanan Elementary,Murrieta,92563
Warm Springs Middle,Murrieta,92563
Antelope Hills Elementary,Murrieta,92562
Monte Vista Elementary,Murrieta,92563
Murrieta Canyon Academy,Murrieta,92563
Vista Murrieta High,Murrieta,92563
Lisa J. Mails Elementary,Murrieta,92563
Dorothy McElhinney Middle,Murrieta,92563
Murrieta Mesa High,Murrieta,92562
Murrieta Preschool Outreach,Murrieta,92562
Pacific Valley (K-12),Big Sur,93920
Patricia Dreizler Continuation High,Redondo Beach,90277
Adams Middle,Redondo Beach,90278
Alta Vista Elementary,Redondo Beach,90277
Beryl Heights Elementary,Redondo Beach,90277
Birney Elementary,Redondo Beach,90278
Parras (Nick G.) Middle,Redondo Beach,90277
Jefferson Elementary,Redondo Beach,90278
Lincoln Elementary,Redondo Beach,90278
Madison Elementary,Redondo Beach,90278
Tulita Elementary,Redondo Beach,90277
Washington Elementary,Redondo Beach,90278
Redondo Union High,Redondo Beach,90277
Redondo Beach Learning Academy,Redondo Beach,90277
Bryant Middle,Dos Palos,93620
Dos Palos Elementary,Dos Palos,93620
Dos Palos High,Dos Palos,93620
Bernhard Marks Elementary,Dos Palos,93620
Westside High,South Dos Palos,93665
Westside Community Day Middle High,South Dos Palos,93665
